lat;lon;validdate;t_apparent_mean_1h:C
-35.047591;149.129045;2023-11-25T12:00:00Z;15.6
-35.047591;149.129045;2023-11-25T15:00:00Z;14.7
-35.047591;149.129045;2023-11-25T18:00:00Z;13.8
-35.047591;149.129045;2023-11-25T21:00:00Z;16.8
-35.047591;149.129045;2023-11-26T00:00:00Z;25.7
-35.047591;149.129045;2023-11-26T03:00:00Z;28.5
-35.047591;149.129045;2023-11-26T06:00:00Z;26.3
-35.047591;149.129045;2023-11-26T09:00:00Z;18.5
-35.047591;149.129045;2023-11-26T12:00:00Z;16.1
-35.047591;149.129045;2023-11-26T15:00:00Z;14.2
-35.047591;149.129045;2023-11-26T18:00:00Z;16.0
-35.047591;149.129045;2023-11-26T21:00:00Z;18.9
-35.047591;149.129045;2023-11-27T00:00:00Z;27.2
-35.047591;149.129045;2023-11-27T03:00:00Z;30.7
-35.047591;149.129045;2023-11-27T06:00:00Z;27.5
-35.047591;149.129045;2023-11-27T09:00:00Z;19.0
-35.047591;149.129045;2023-11-27T12:00:00Z;15.5
-35.047591;149.129045;2023-11-27T15:00:00Z;15.6
-35.047591;149.129045;2023-11-27T18:00:00Z;15.0
-35.047591;149.129045;2023-11-27T21:00:00Z;18.1
-35.047591;149.129045;2023-11-28T00:00:00Z;25.7
-35.047591;149.129045;2023-11-28T03:00:00Z;24.3
-35.047591;149.129045;2023-11-28T06:00:00Z;20.8
-35.047591;149.129045;2023-11-28T09:00:00Z;16.1
-35.047591;149.129045;2023-11-28T12:00:00Z;15.5
-35.047591;149.129045;2023-11-28T15:00:00Z;14.2
-35.047591;149.129045;2023-11-28T18:00:00Z;14.6
-35.047591;149.129045;2023-11-28T21:00:00Z;16.0
-35.047591;149.129045;2023-11-29T00:00:00Z;23.1
-35.047591;149.129045;2023-11-29T03:00:00Z;21.3
-35.047591;149.129045;2023-11-29T06:00:00Z;21.9
-35.047591;149.129045;2023-11-29T09:00:00Z;17.1
-35.047591;149.129045;2023-11-29T12:00:00Z;14.8
-35.047591;149.129045;2023-11-29T15:00:00Z;14.3
-35.047591;149.129045;2023-11-29T18:00:00Z;12.9
-35.047591;149.129045;2023-11-29T21:00:00Z;16.0
-35.047591;149.129045;2023-11-30T00:00:00Z;23.1
-35.047591;149.129045;2023-11-30T03:00:00Z;22.0
-35.047591;149.129045;2023-11-30T06:00:00Z;22.2
-35.047591;149.129045;2023-11-30T09:00:00Z;17.9
-35.047591;149.129045;2023-11-30T12:00:00Z;14.9
-35.047591;149.129045;2023-11-30T15:00:00Z;14.9
-35.047591;149.129045;2023-11-30T18:00:00Z;14.0
-35.047591;149.129045;2023-11-30T21:00:00Z;17.9
